answer,tags,question,a,b,c,d,,,
a,"Contracts,  Common Law Contracts","An expert in lifting and emplacing equipment atop tall buildings contracted in a signed writing to lift and emplace certain air-conditioning equipment atop a building. An exculpatory clause in the contract provided that the expert would not be liable for any physical damage to the building occurring during installation of the air-conditioning equipment. There was also a clause providing for per diem damages if the expert did not complete performance by a specified date and a clause providing that “time is of the essence.” Another clause provided that any subsequent agreement for extra work under the contract must be in writing and signed by both parties. With ample time remaining under the contract for commencement and completion of his performance, the expert notified the building owner that he was selling his business to a helicopter company, who was equally expert in lifting and emplacing equipment atop tall buildings, and that the helicopter company had agreed to “take over the expert-building owner contract.” Assume that building owner orally agreed with the expert to accept the helicopter company’s services and that the helicopter company performed on time but negligently installed the wrong air-conditioning equipment. Will the building owner succeed in an action against expert for damages for breach of contract?","Yes, because building owner did not agree to release expert from liability under the contract.","Yes, because building owner received no consideration for the substitution of helicopter company for expert.","No, because by accepting the substitution of helicopter company for expert, building owner effected a novation, and expert was thereby discharged of his duties under the contract.","No, because the liquidated-damage clause in the contract provided only for damages caused by delay in performance.",,,
c,"Real Property,  Title,  Conveyancing,  Recording","A man owned a tract in fee simple of record on January 10. On that day, a woman loaned the man $50,000 and the man mortgaged the land to the woman as security for the loan. The mortgage was recorded on January 18. The man conveyed the land to a bookseller for a valuable consideration on January 11. The woman did not know of this, nor did the bookseller know of the mortgage to the woman, until both discovered the facts on January 23, the day on which the bookseller recorded the man’s deed. The recording act of the jurisdiction provides: “No unrecorded conveyance or mortgage of real property shall be good against subsequent purchasers for value without notice, who shall first record.” There is no provision for a period of grace and there is no other relevant statutory provision. The woman sued the bookseller to establish that her mortgage was good against the tract. The court should decide for","the bookseller, because he paid valuable consideration without notice before the woman recorded her mortgage.","the bookseller, because the woman’s delay in recording means that she is estopped from asserting her priority in time.","The woman, because the bookseller did not record his deed before her mortgage was recorded.","The woman, because after the mortgage to her, the man’s deed to the bookseller was necessarily subject to her mortgage.",,,
d,"Real Property,  Easements,  Covenants and Servitudes","A man owned two adjacent parcels, Blackacre and Whiteacre. Blackacre fronts on a poor unpaved road, while Whiteacre fronts on Route 20, a paved major highway. Fifteen years ago, the man conveyed to his son Blackacre “together with a right-of-way 25 feet wide over the east side of Whiteacre to Route 20.” At that time, Blackacre was improved with a ten-unit motel. Ten years ago, the man died. His will devised Whiteacre “to my son for life, remainder to my daughter.” Five years ago, the son executed an instrument in the proper form of a deed, purporting to convey Blackacre and Whiteacre to a developer in fee simple. The developer then enlarged the motel to 12 units. Six months ago, the son died and the daughter took possession of Whiteacre. She brought an appropriate action to enjoin the developer from using the right-of-way. In this action, who should prevail?","The daughter, because merger extinguished the easement.","The daughter, because the developer has overburdened the easement.","The developer, because he has an easement by necessity.","The developer, because he has the easement granted by the man to his son.",,,
c,"Evidence,  Character","A defendant who is an accountant has been charged with fraud for allegedly helping a client file false income tax returns by shifting substantial medical expenses from one year to another. The defendant has pleaded not guilty, claiming that he made an honest mistake as to the date the expenses were paid. At trial, the prosecutor offers evidence of the defendant's involvement in an earlier scheme to help a different client falsify tax returns in the same way. Is the evidence of the defendant's involvement in the earlier scheme admissible?","No, because it is impermissible character evidence.","No, because it is not relevant to the issues in this case.","Yes, to show absence of mistake.","Yes, to show the defendant's propensity to commit the crime.",,,
b,Civil Procedure,"A retailer brought a federal diversity action against a wholesaler, alleging breach of contract and fraudulent misrepresentation. After the parties presented their evidence at trial, the court instructed the jury on the law. Neither party filed a motion for judgment as a matter of law before the case went to the jury. The jury found for the retailer on both claims. After the court entered judgment on the verdict, the wholesaler moved for a new trial and for judgment as a matter of law, arguing that the evidence was insufficient to support the jury verdict on either claim. The court acknowledged that there had been problems with some of the evidence, but it denied the motions. The wholesaler appealed, challenging the sufficiency of the evidence. Should the appellate court consider the wholesaler's challenge?","No, because a determination of the sufficiency of the evidence is solely within the jury's province.","No, because the wholesaler did not raise the sufficiency-of-the-evidence issue in a motion for judgment as a matter of law before the case went to the jury.","Yes, because the challenge was raised and ruled on by the trial court before the wholesaler filed the appeal.","Yes, because, as the trial court acknowledged, the wholesaler has strong arguments on the challenge.",,,
d,"Criminal Law & Procedure,  Crimes","A man decided to destroy an old warehouse that he owned because the taxes on the structure exceeded the income that he could receive from it. He crept into the building in the middle of the night with a can of gasoline and a fuse and set the fuse timer for 30 minutes. He then left the building. The fuse failed to ignite, and the building was not harmed. Arson is defined in the jurisdiction as “the intentional burning of any building or structure of another, without consent of the owner.” The man believed, however, that burning one’s own building was arson, having been so advised by his lawyer. Has the man committed attempted arson?","Yes, because factual impossibility is no defense.","Yes, because a mistake of law even on the advice of an attorney is no defense.","No, because his mistake negated a necessary mental state.","No, because even if his actions had every consequence he intended, they would not have constituted arson.",,,
a,"Constitutional Law,  Individual Rights","A state criminal law prohibits the publication of any description of the details of the execution of any prisoner who is sentenced to death by the courts of the state. Although the law allows a specified number of reporters to observe an execution, only the prison warden's official statement that the prisoner was ""executed as provided by law"" at a certain time and date may be published. The purpose of the law is to protect the public, particularly children, from the details of executions. After a particular execution was mishandled, causing the prisoner to suffer, a newspaper in the state published a story describing the event in detail. The story was written by the newspaper's reporter, who was permitted to observe the execution but did not promise prison officials that he would report only the warden's official statement. A prosecutor subsequently filed charges against the newspaper for publishing the details of the execution in violation of the state law. Is this prosecution constitutional?","No, because the prosecution seeks to punish the publication of lawfully obtained, truthful information about a matter of public significance, without adequate justification.","No, because the reporter did not promise prison officials that he would report only the warden's official statement about the execution.","Yes, because publication of the details of such events might cause psychological damage to some children.","Yes, because the newspaper should have brought an action to test the validity of the law before publishing the reporter's story.",,,
d,"Constitutional Law,  Powers","After several well-publicized deaths caused by fires in products made from highly flammable fabrics, a State enacted a statute prohibiting ""the manufacture or assembly of any product in this state which contains any fabric that has not been tested and approved for flame retardancy by Testing Company."" Testing Company is a privately owned and operated business located in State. For many years, a fabric mill located in the State has had its fabric tested for flame retardancy by a different testing company located in another state. The different testing company is a reliable organization that uses a process for testing and approving fabrics for flame retardancy identical in all respects to that used by Testing Company. Because the fabric mill wishes to continue to have its fabric tested solely by the different testing company, the fabric mill files an action in state court challenging the constitutionality of the State statute as applied to its circumstances. In this suit, the court should hold the statute to be:","constitutional, because it is reasonably related to the protection of the reputation of the fabric industry located in State.","constitutional, because it is a legitimate means of protecting the safety of the public.","unconstitutional, because it denies to the fabric mill the equal protection of the laws.","unconstitutional, because it imposes an unreasonable burden on interstate commerce.",,,
a,"Torts,  Intentional Torts","Two boys were in the habit of playing practical jokes on each other on their respective birthdays. On one boy's birthday, the other boy sent him a cake containing an ingredient that the other boy knew had, in the past, made the one boy very ill. After the one boy had eaten a piece of the cake, he suffered severe stomach pains and had to be taken to the hospital by ambulance. On the way to the hospital, the ambulance driver suffered a heart attack, which caused the ambulance to swerve from the road and hit a tree. As a result of the collision, the one boy suffered a broken leg. In a suit by the one boy against the other boy to recover damages for the broken leg, the one boy will:","prevail, because the other boy knew that the cake would be harmful or offensive to the one boy;","prevail, only if the ambulance driver was negligent","not prevail, because the other boy could not reasonably be expected to foresee injury to the one boy's leg;","not prevail, because the ambulance driver's heart attack was a superseding cause of the broken leg.",,,
d,"Evidence,  Character","Defendant, charged with armed robbery of a store, denied that he was the person who had robbed the store. In presenting the state's case, the prosecutor seeks to introduce evidence that Defendant had robbed two other stores in the past year. This evidence is:","admissible, to prove a pertinent trait of Defendant 's character and Defendant's action in conformity therewith.","admissible, to prove Defendant's intent and identity.","inadmissible, because character must be proved by reputation or opinion and may not be proved by specific acts.","inadmissible, because its probative value is substantially outweighed by the danger of unfair prejudice.",,,
b,"Real Property,  Title,  Conveyancing,  Recording","Twenty-five years ago, a seller conveyed Blackacre to a buyer by a warranty deed. The seller at that time also executed and delivered an instrument in the proper form of a deed, purporting to convey Whiteacre to the buyer. The seller thought she had title to Whiteacre but did not; therefore, no title passed by virtue of the Whiteacre deed. Whiteacre consisted of three acres of brushland adjoining the west boundary of Blackacre. The buyer has occasionally hunted rabbits on Whiteacre, but less often than annually. No one else came on Whiteacre except occasional rabbit hunters.Twenty years ago, the buyer planted a row of evergreens in the vicinity of the opposite (east) boundary of Blackacre and erected a fence just beyond the evergreens to the east. In fact both the trees and the fence were placed on Greenacre, owned by a neighbor, which bordered the east boundary of Blackacre. The buyer was unsure of the exact boundary, and placed the trees and the fence in order to establish his rights up to the fence. The fence is located ten feet within Greenacre.Now, the buyer has had his property surveyed and the title checked and has learned the facts. The period of time to acquire title by adverse possession is 15 years. The buyer consulted his lawyer, who properly advised that, in an appropriate action, the buyer would probably obtain title to",Whiteacre but not to the ten-foot strip of Greenacre.,the ten-foot strip of Greenacre but not to Whiteacre.,both Whiteacre and the ten-foot strip of Greenacre.,neither Whiteacre nor the ten-foot strip of Greenacre.,,,
b,"Contracts,  Common Law Contracts","The aged mother of two adults, a son and daughter, wished to employ a live-in companion so that she might continue to live in her own home. The mother, however, had only enough income to pay one-half of the companion’s $2,000 monthly salary. Learning of their mother’s plight, the son and daughter agreed with each other in a signed writing that on the last day of January and each succeeding month during their mother’s lifetime, each would give the mother $500. The mother then hired the companion.Both adult children made the agreed payments in January, February and March. In April, however, the son refused to make any payments and notified the daughter and the mother that he would make no further payments. Will the mother succeed in an action for $500 brought against the son after April 30?","Yes, because by making his first three payments, the son confirmed his intent to contract.","Yes, because the mother is an intended beneficiary of a contract between the son and daughter.","No, because a parent cannot sue her child for breach of a promise for support.","No, because the son and daughter intended their payments to the mother to be gifts.",,,
d,"Contracts,  Common Law Contracts","A toy collector had purchased 10 antique toys over the last several years and had had them restored by an expert in toy restoration. On June l, the collector sent the 11th antique toy to the expert with a signed note that read: ""Here is another toy for you to restore. As with all prior jobs, I will pay $500 for the work, but no more."" On June 4, after receipt of the collector's June 1 note and the toy, the expert began restoring the toy. On June 6, the collector unexpectedly died. On June 7, unaware of the collector's death, the expert sent the collector a note that stated that the restoration work had begun on June 4. The following day, the expert learned of the collector's death.Does a contract exist that binds the expert and the collector's estate?","No, because the collector died before the expert sent the June 7 note.","No, because the offer lapsed when the collector died.","Yes, because the expert sent the June 7 note before learning of the collector's death.","Yes, because the offer was accepted before the collector's death.",,,
a,"Real Property,  RE Contract Issues","An owner of land contracted to sell it to a buyer for $100,000, its fair market value at that time. After an unanticipated zoning change increased the land's fair market value to $150,000 during the executory period, the owner refused to close. Wishing to avoid a lawsuit, the buyer assigned the contract (which the contract did not forbid) in an arm's-length transaction to an investor, who is experienced in buying and selling real estate. The investor paid the buyer $25,000. The investor knew of the owner's refusal to close, and the owner continued to refuse to close despite the investor's demands that he do so. The investor has sued the owner for specific performance. Who will likely prevail?","The investor, because an assignee of the original party purchaser in a real estate contract is entitled to specific performance under these circumstances.","The investor, because she has elected to waive the owner's lack of marketable title caused by the zoning change.","The owner, because the investor is not a bona fide assignee without notice, and thus does not have clean hands.","The owner, because the investor, who is experienced in buying and selling real estate, is entitled to money damages but not to specific performance.",,,
c,"Criminal Law & Procedure,  Criminal Procedure","Suspecting that a man had slain his wife, police detectives persuaded one of the man’s employees to remove a drinking glass from the man’s office so that it could be used for fingerprint comparisons with a knife found near the body. The fingerprints matched. The prosecutor announced that he would present comparisons and evidence to the grand jury. The man’s lawyer immediately filed a motion to suppress the evidence of the fingerprint comparisons to bar its consideration by the grand jury, contending that the evidence was illegally acquired.The motion should be","granted, because, if there was no probable cause, the grand jury should not consider the evidence.","granted, because the employee was acting as a police agent and his seizure of the glass without a warrant was unconstitutional.","denied, because motions based on the exclusionary rule are premature in grand jury proceedings.","denied, because the glass was removed from Scott’s possession by a private citizen and not a police officer.",,,
d,"Torts,  Negligence","If the man brings an action, based on negligence, against the grocery store, the store's best defense will be that:",a store owes no duty to its customers to control the use of its shopping carts,,a store owes no duty to its customers to control the conduct of other customers,,any negligence of the store was not the proximate cause of the man's injury,,a supervised child pushing a cart does not pose an unreasonable risk to other customers.
d,"Torts,  Negligence","If the man brings an action, based on negligence, against the girl's mother, will the man prevail?","Yes, if the girl was negligent;","Yes, because the girl's mother is responsible for any harm caused by the girl;","Yes, because the girl's mother assumed the risk of her child's actions;","Yes, if the girl's mother did not adequately supervise the girl's actions.",,,
a,"Torts,  Negligence","If the man brings an action, based on negligence, against the girl, the girl's best argument in defense would be that:","The girl exercised care commensurate with her age, intelligence, and experience;",The girl is not subject to tort liability,,The girl was subject to parental supervision,,The man assumed the risk that the girl might hit him with the cart.,
c,"Real Property,  RE Contract Issues","A man entered into a valid written contract to sell a large tract of land to a woman. At that time, the land was owned by the man’s father; the man had no title to the land and was not the agent of his father.After the contract was executed and before the scheduled closing date, the father died intestate, leaving the man as his sole heir. Shortly thereafter, the man received an offer for the land that was substantially higher than the purchase price in the contract with the woman. The man refused to close with the woman although she was ready, willing, and able to close pursuant to the contract.The woman brought an appropriate action for specific performance against the man. In that action, the woman should be awarded","nothing, because the man had no authority to enter into the contract with the woman.","nothing, because the doctrine of after-acquired title does not apply to executor contracts.","judgment for specific performance, because the man acquired title prior to the scheduled closing.","judgment for specific performance, to prevent unjust enrichment of the man.",,,
a,"Torts,  Intentional Torts","A man operates a collection agency. He was trying to collect a $400 bill for medical services rendered to a woman by her doctor. The man went to the woman's house and when her mother answered the door, the man told the mother he was there to collect a bill owed by the woman. The woman’s mother told the man that because of her illness, the woman had been unemployed for six months, that she was still ill and unable to work, and that she would pay the bill as soon as she could. The man, in a loud voice, demanded to see the woman and said that if he did not receive payment immediately, he would file a criminal complaint charging her with fraud. The woman, hearing the conversation, came to the door. The man, in a loud voice, repeated his demand for immediate payment and his threat to use criminal process. If the woman asserts a claim against the man, based on infliction of emotional distress, will the woman prevail?","Yes, if the woman suffered severe emotional distress as a result of the man's conduct;","Yes, unless the bill for medical services was valid and past due;","No, unless the woman suffered physical harm as a result of the man's conduct;","No, if the man's conduct created no risk of physical harm to the woman.",,,
c,"Constitutional Law,  Individual Rights","Public schools in a State are financed, in large part, by revenue derived from real estate taxes imposed by each school district on the taxable real property located in that district. Public schools also receive other revenue from private gifts, federal grants, student fees, and local sales taxes. For many years, State has distributed additional funds, which come from the state treasury, to local school districts in order to equalize the funds available on a per-student basis for each public school district. These additional funds are distributed on the basis of a state statutory formula that considers only the number of students in each public school district and the real estate tax revenue raised by that district. The formula does not consider other revenue received by a school district from different sources. The school boards of two school districts, together with parents and schoolchildren in those districts, bring suit in federal court to enjoin the state from allocating the additional funds from the state treasury to individual districts pursuant to this formula. They allege that the failure of the State, in allocating this additional money, to take into account a school district's sources of revenue other than revenue derived from taxes levied on real estate located there violates the equal protection clause of the Fourteenth Amendment. The complaint does not allege that the allocation of the additional state funds based on the current statutory formula has resulted in a failure to provide minimally adequate education to any child. Which of the following best describes the appropriate standard by which the court should review the constitutionality of the state statutory funding formula?","Because classifications based on wealth are inherently suspect, the state must demonstrate that the statutory formula is necessary to vindicate a compelling state interest.","Because the statutory funding formula burdens the fundamental right to education, the state must demonstrate that the formula is necessary to vindicate a compelling state interest.","Because no fundamental right or suspect classification is implicated in this case, the plaintiffs must demonstrate that the funding allocation formula bears no rational relationship to any legitimate state interest.","Because the funding formula inevitably leads to disparities among the school districts in their levels of total funding, the plaintiffs must only demonstrate that the funding formula is not substantially related to the furtherance of an important state interest.",,,
d,"Torts,  Products Liability/Strict Liability","A hot-air balloon touring company operated near a golf course. The company's property was separated from the golf course by a fence on which the company had posted signs warning people not to enter the property because of the dangers of balloons landing. A golfer on the golf course hit an errant shot onto the company's property, ignored the warning signs, and jumped over the fence to retrieve her golf ball. At about the same time, one of the company's balloons experienced mechanical problems and had to make an emergency landing to avoid crashing. The balloon, which was out of control when it landed, struck the golfer and injured her. The jurisdiction has decided that hot-air ballooning is an abnormally dangerous activity. In an action by the golfer against the company, does the company have any affirmative defenses?","No, because the balloon was out of control when it struck the golfer.","No, because the company was engaged in an abnormally dangerous activity.","Yes, because the balloon landed to avoid crashing.","Yes, because the golfer assumed the risk by coming onto the company's property.",,,
a,"Criminal Law & Procedure,  Crimes","A man and a woman were partners in an automobile leasing agency. For some time, the man had been embezzling money from the agency. The woman became suspicious and told the man that she wanted to engage an accounting firm to audit the agency's books. In a panic to prevent the audit and avoid being discovered, the man decided to have the woman killed. He contacted a professional killer and hired him to kill the woman for $10,000. A short time later, the woman died in a car crash arranged by the killer. In addition to embezzlement, of what crime or crimes may the man properly be convicted?",Conspiracy and murder.,Murder.,Solicitation and conspiracy.,"Solicitation, conspiracy, and murder.",,,
c,"Civil Procedure,  Pleadings","Two men are involved in a dispute concerning a contract. On February 1, Plaintiff serves Defendant with a complaint seeking specific performance of the contract. On February 8, Defendant files an answer, denying that it breached the contract and counterclaiming against Plaintiff for damages, alleging that Plaintiff breached the contract. Defendant served his answer on February 15th. On February 19th, Plaintiff filed and served his reply, denying liability on the counterclaim. In his reply, Plaintiff also requested a jury trial. The court should:",Deny the request for a jury trial because the request was more than 14 days after he filed his complaint and thus untimely.,Deny the request because Plaintiff does not have an unqualified right to a jury trial for his cause of action.,Grant the request because Plaintiff’s request was made less than 14 days after receiving Defendant's answer and counterclaim.,Grant the request as a matter of law because Defendant filed a counterclaim.,,,
b,"Torts,  Trespass/Nuisance","A company owns and operates a beachfront hotel. Under a contract with City to restore a public beach, a contractor placed a large and unavoidably dangerous stone-crushing machine on City land near the company's hotel. The machine creates a continuous and intense noise that is so disturbing to the hotel guests that they have canceled their hotel reservations in large numbers, resulting in a substantial loss to the company.The company's best chance to recover damages for its financial losses from the contractor is under the theory that the operation of the stone-crushing machine constitutes:",an abnormally dangerous activity,,a private nuisance,,negligence,,trespass.
d,"Constitutional Law,  Individual Rights","A state law imposes penalties for ""any public statement containing false or misleading information about a service or product."" An airline falsely claimed in an advertisement that its competitor had an inferior safety record. The claim was based on erroneous information, found on the website of a nonprofit consumer advocacy group, that the airline assumed to be true. The airline was charged under the state law for making a false statement. No federal statute applies.Which of the following best supports the airline in a defense based on the First Amendment?",Its statement about the safety record was made without malice.,Its statement about the safety record was protected noncommercial speech.,The state law is a prior restraint.,The state law is overbroad.,,,
c,"Evidence,  Authentication/Best Evidence Rule","Plaintiff Corporation sued Defendant for ten fuel oil deliveries not paid for. Don denied that the deliveries were made. At trial, Plaintiff calls its office manager to testify that Plaintiff’s employees always record each delivery in duplicate, give one copy to the customer, and place the other copy in Plaintiff 's files; that he (the office manager) is the custodian of those files; and that his examination of the files before coming to court revealed that the ten deliveries were made.The office manager's testimony that the invoices show ten deliveries is:","admissible, because it is based on regularly kept business records.","admissible, because the office manager has first¬hand knowledge of the contents of the records.","inadmissible, because the records must be produced in order to prove their contents.","inadmissible, because the records are self-serving.",,,
a,"Criminal Law & Procedure,  Criminal Procedure","A man entered the police station and announced that he wanted to confess to a murder. The police advised the man of the Miranda warnings, and the man signed a written waiver. The man described the murder in detail and pinpointed the location where a murder victim had been found a few weeks before. Later, a court-appointed psychiatrist determined that the man was suffering from a serious mental illness that interfered with his ability to make rational choices and to understand his rights and that the psychosis had induced his confession.The man’s confession is","admissible, because there was no coercive police conduct in obtaining the man’s statement.","admissible, because the man was not in custody.","inadmissible, because the man’s confession was a product of his mental illness and was therefore involuntary.","inadmissible, because under these circumstances, there was no valid waiver of Miranda warnings.",,,
c,"Real Property,  Mortgages,  Foreclosure,  and Security","A man borrowed money from a lender and mortgaged land that he owned to secure repayment of the loan. Before he had completely repaid the loan, the man conveyed the land to an investor, who expressly assumed the loan. The note and mortgage did not contain a due-on-sale clause.After the investor had made several payments on the loan, she defaulted on two payments. The lender notified the man and the investor of its intention to accelerate the loan pursuant to the terms of the note and mortgage unless the default was cured within 60 days. When neither the man nor the investor made the required payment, the lender accelerated the loan and initiated foreclosure proceedings, naming both the man and the investor as party defendants. The foreclosure sale resulted in a deficiency. The lender has sought a deficiency judgment against only the man, because the investor has become insolvent in the meantime.Will the court likely find the man liable for the deficiency?","No, because the investor's express assumption of the loan released the man from liability.","No, because the lender must first seek to obtain a deficiency judgment against the investor.","Yes, because even after the assumption, the man remains liable as a surety of the investor in the absence of a release from the lender.","Yes, because the note and mortgage did not contain a due-on-sale clause.",,,
b,"Torts,  Intentional Torts","While a woman was riding her horse on what she thought was a public path, the owner of a house next to the path approached her, shaking a stick and shouting, ""Get off my property."" Unknown to the woman, the path on which she was riding crossed the private property of the shouting owner. When the woman explained that she thought the path was a public trail, the owner cursed her, approached the woman's horse, and struck the horse with the stick. As a result of the blow, the horse reared, causing the woman to fear that she would fall. However, the woman managed to stay on the horse, and then departed. Neither the woman nor the horse suffered bodily harm.If the woman brings an action for damages against the owner, the result should be for:","The woman, for trespass to her chattel property;","The woman, for battery and assault","The owner, because the woman suffered no physical harm;","The owner, because he was privileged to exclude trespassers from his property.",,,
b,"Real Property,  RE Contract Issues","Five years ago, a woman acquired a plot of land, improved with a 15-year-old dwelling. This year the woman listed the land for sale with a licensed real estate broker. The woman informed the broker of several defects in the house that were not readily discoverable by a reasonable inspection, including a leaky basement, an inadequate water supply, and a roof that leaked. A man responded to the broker’s advertisement, was taken by the broker to view the land, and decided to buy it. The broker saw to it that the contract specified the property to be “as is” but neither the broker nor the woman pointed out the defects to the man, who did not ask about the condition of the dwelling. After closing and taking possession, the man discovered the defects, had them repaired, and demanded that the woman reimburse him for the cost of the repairs. The woman refused and the man brought an appropriate action against the woman for damages.If the woman wins, it will be because",The woman fulfilled the duty to disclose defects by disclosure to the broker,the contract’s “as is” provision controls the rights of the parties.,The broker became the agent of both the man and the woman and thus knowledge of the defects was imputed to the man.,the seller of a used dwelling that has been viewed by the buyer has no responsibility toward the buyer.,,,
a,"Criminal Law & Procedure,  Crimes","In which of the following situations would a court applying common-law doctrine be most likely to convict a man of the crime charged, despite the man’s mistake?",The man was charged with bigamy. He married his neighbor four years after her husband was reported missing at sea. The rescued husband returns alive. A state statute provides that a person is presumed dead after five years of unexplained absence. The man believed the statutory period was three years.,"The man was charged with murder after he shot and killed a man who had extorted money from him. The man mistakenly thought the victim had raised his hand to shoot, when, in fact, the victim was shaking his fist at the man to frighten him.",The man was charged with assault with intent to rape a woman who he mistakenly believed had agreed to have sexual intercourse with him.,The man was charged with burglary. He had broken into an office where he once worked and had taken a typewriter that he erroneously believed had been given to him before he was fired.,,,
a,"Contracts,  Common Law Contracts","A man owed a lender $1,000, plus interest at 8% until paid, on a long-overdue promissory note, collection of which would become barred by the statute of limitations on June 30. On the preceding April 1, the man and the lender both signed a writing in which the man promised to pay the note in full on the following December 31, plus interest at 8% until that date, and the lender promised not to sue on the note in the meantime. The lender, having received some advice from his nonlawyer brother-in-law, became concerned about the legal effect of the April 1 agreement. On May 1, acting pro se as permitted by the rules of the local small claims court, he filed suit to collect the note.Assuming there is no controlling statute, is the April 1 agreement an effective defense for Spender?","Yes, because the man’s promise to pay interest until December 31 was consideration for the lender’s promise not to sue.","Yes, because the law creates a presumption that the man relied on the lender’s promise not to sue.","No, because there was no consideration for the lender’s promise not to sue, in that the man was already obligated to pay $1,000 plus interest at 8% until the payment date.","No, because the man’s April 1 promise is enforceable with or without consideration.",,,
c,"Contracts,  Uniform Commercial Code","A buyer sent a signed letter to a seller that stated: ""Ship 100 boxes of nails at $3 per box, the price quoted in your circular."" The seller mailed the buyer a signed fom acknowledgment that agreed to the buyer's terms and stated on the reverse side: ""Disputes regarding quality shall be arbitrated."" The buyer did not reply to the seller's acknowledgment, and the seller shipped the nails. When the buyer received the nails, it found their quality to be unsatisfactory and sued the seller for breach of warranty. The seller has asked an attorney whether the parties' contract requires arbitration of the buyer's claim.What is the best advice the attorney can provide?","A contract was formed pursuant to conduct when the buyer received the nails, and a court would exclude the arbitration provision from the contract.","A contract was formed when the seller mailed its acknowledgment, and the arbitration term became part of the contract.","A contract was formed when the seller mailed its acknowledgment, and the court must decide whether the arbitration term should be excluded as a material alteration of the contract.","No contract exists, because the arbitration term in the seller's acknowledgment created a counteroffer that the buyer never accepted.",,,
c,"Constitutional Law,  Individual Rights","A doctor who was licensed to practice medicine in a particular state was convicted in state court of improperly distributing specified drugs by writing prescriptions for fictitious persons. Under state law, such an abuse of the prescription-writing privilege requires revocation of a doctor's license. After it received an official notification of the doctor's conviction, the state medical board revoked the doctor's license without affording the doctor any opportunity for a hearing.The doctor has sued the board in state court to set aside the revocation, alleging deprivation of property without due process of law because the board did not provide an opportunity for a trial-type hearing before revoking the license. The doctor does not deny the conviction or the factual basis for it.Which of the following is the strongest argument in support of the state medical board?","A doctor's license to practice is a privilege, not a right, and therefore is not property within the meaning of the due process clause of the Fourteenth Amendment.","Due process requires a balancing of interests, and the state's interest in preventing drug abuse outweighs the doctor's interest in the particular procedure followed in the disciplinary proceeding.","The adjudicative facts necessary to revoke the doctor's license were determined in the criminal trial, and therefore due process does not require any further trial-type hearing.","The licensing board was required to summarily revoke the doctor's license because Article IV, Section 1, of the Constitution requires the licensing board to give full faith and credit to the doctor's criminal conviction.",,,
d,"Torts,  Negligence","While driving his car, a man sustained injuries in a three-car collision. The man sued the drivers of the other two cars, a woman and a teen-ager, and each defendant cross-claimed against the other for contribution. The jurisdiction has adopted a rule of pure comparative negligence and allows contribution based upon proportionate fault. The rule of joint and several liability has been retained.The jury has found that the man sustained damages in the amount of $100,000, and apportioned the causal negligence of the parties as follows: the man 40%, the woman 30%, and the teen-ager 30%.How much, if anything, can the man collect from the woman, and how much, if anything, can the woman then collect from the teen-ager in contribution?","Nothing, and then the woman can collect nothing from the teen-ager;","$30,000, and then the woman can collect nothing from the teen-ager;","$40,000, and then the woman can collect $10,000 from the teen-ager;","$60,000, and then the woman can collect $30,000 from the teen-ager.",,,
c,"Contracts,  Common Law Contracts","A man and his adult daughter encountered an old family friend on the street. The daughter said to the friend, “How about lending me $1,000 to buy a used car? I’ll pay you back with interest one year from today.” The man added, “And if she doesn’t pay it back as promised, I will.” The friend thereupon wrote out and handed to the daughter his personal check, payable to her, for $1,000, and the daughter subsequently used the funds to buy a used car. When the debt became due, both the daughter and the man refused to repay it, or any part of it.In an action by the friend against the man to recover $1,000 plus interest, which of the following statements would summarize the man’s best defense?",He received no consideration for his conditional promise to the friend.,His conditional promise to the friend was not to be performed in less than a year from the time it was made.,(LLLL) His conditional promise to the friend was not made for the primary purpose of benefitting himself (the man).,The loan by the friend was made without any agreement concerning the applicable interest rate.,,,
d,"Real Property,  Cotenancy and Landlord-Tenant","A man and a woman owned a plot of land as joint tenants, upon which was situated a two-family house. The man lived in one of the two apartments and rented the other apartment to a tenant. The man got in a fight with the tenant and injured him. The tenant obtained and properly filed a judgment for $10,000 against the man.The statute in the jurisdiction reads: Any judgment properly filed shall, for ten years from filing, be a lien on the real property then owned or subsequently acquired by any person against whom the judgment is rendered.The woman, who lived in a distant city, knew nothing of the tenant’s judgment. Before the tenant took any further action, the man died. The common-law joint tenancy is unmodified by statute.The woman then learned the facts and brought an appropriate action against the tenant to quiet title to the land.The court should hold that the tenant has","a lien against the whole of the land, because he was a tenant of both the man and the woman at the time of the judgment.","a lien against the man’s undivided one-half interest in the land, because his judgment was filed prior to the man’s death.","no lien, because the woman had no actual notice of the tenant’s judgment until after the man’s death.","no lien, because the man’s death terminated the interest to which the tenant’s lien attached.",,,
b,"Evidence,  Prelim. Facts,  Burdens,  Presumptns","In litigation on a federal claim, Plaintiff had the burden of proving that Defendant received a notice. Plaintiff relied on the presumption of receipt by offering evidence that the notice was addressed to Defendant, properly stamped, and mailed. Defendant, on the other hand, testified that she never received the notice.Which of the following is correct?",The jury must find that the notice was received.,The jury may find that the notice was received.,The burden shifts to Defendant to persuade the jury of nonreceipt.,"The jury must find that the notice was not received, because the presumption has been rebutted and there is uncontradicted evidence of nonreceipt.",,,
