answer,tags,question,a,b,c,d
b,"Civil Procedure,","Plaintiff sues an automobile tire manufacturer in federal court for injuries resulting from a one-car accident, claiming that the tire had either a design or manufacturing defect, or both. Discovery has begun. Which of the following discovery responses would most likely NOT need to be supplemented or corrected?","Plaintiff responds to an interrogatory asking for the names and addresses of everyone who serviced the automobile or the automobile’s tires in the last year. Six weeks later, plaintiff learns that her interrogatory response is incomplete because she failed to list a friend who helped her rotate her tires.","Plaintiff is deposed. At the plaintiff’s deposition in response to a question asking, “On the day of the accident, who else had driven your car?” The plaintiff states, “My neighbor and his wife.” Two weeks later, the plaintiff reviews the deposition transcript and approves it without change. Four weeks later, the plaintiff learns that her neighbors' son also had driven her car on the day of the accident.","In Plaintiffs’ Initial Disclosures, she disclosed the name, address and telephone number of three witnesses she planned to call to support her claim. Three months later, the plaintiff realized that she planned to call an additional witness to support her claim.","Plaintiff disclosed the name of her expert witness and provided the expert witness' report. Defendant deposed the plaintiff's expert witness. At the deposition, in response to a question, “What is the basis for your opinion that the tire was defective?” The expert listed four items she had observed during her examination of the failed tire. Two weeks later, the expert reviewed the deposition transcript and approved it without change. Four weeks later, the expert realized that there was one additional item she had observed during her examination of the tire that supported her opinion that the tire was defective."
d,"Constitutional Law, Individual Rights,","A state generally provides funding for the medical care of its residents who cannot afford such care. State law, however, prohibits use of this state funding for surgery for any person who has resided in the state for less than one year, except in emergency situations. A woman moved to the state two months ago seeking permanent employment. Her physician recommends non-emergency surgery to treat a medical condition. The surgery would qualify for state funding if the woman had resided in the state for a year. The woman has sued to invalidate the state law that prohibits state funding of her surgery. Should the woman prevail in her action?","No, because the law reasonably conserves the state's limited resources.","No, because the law reasonably prevents the expenditure of state funds on transient nonresidents.","Yes, because the law burdens the woman's fundamental right to health care.","Yes, because the law burdens the woman's fundamental right to travel."
a,"Criminal Law & Procedure, Crimes,","A man lived on the second floor of a small convenience store/gas station that he owned. One night he refused to sell a six-pack of beer to a customer after hours, saying he could not violate the state laws. The customer became enraged and deliberately drove his car into one of the gasoline pumps, severing it from its base. An ensuing explosion causing a ball of fire to go from the underground gasoline tank into the building. As a result, the building burned to the ground and the man was killed. In a common-law jurisdiction, if the customer is charged with murder and arson, he should be",convicted of both offenses.,convicted of involuntary manslaughter and acquitted of arson.,convicted of arson and involuntary manslaughter.,acquitted of both offenses.
b,"Contracts, Common Law Contracts,","In order to raise revenue, a city required home- repair contractors who performed work within the city limits to pay a licensing fee to a city agency. A contractor who was unaware of the fee requirement agreed to perform home repairs for a city resident. After the contractor completed the work, the resident discovered that the contractor had not paid the licensing fee, and she refused to pay for the repairs, which were otherwise satisfactory. If the contractor sues the resident for breach of contract, how is the court likely to rule?","Although the contract violates the law and is void, the court will require the homeowner to pay the contractor the reasonable value of the work accepted.","Although the contract violates the law, the court will find that public policy does not bar enforcement of the contract, because the purpose of the fee is merely to raise revenue.","Because the contract violates the law and is void, the court will not enforce it.","Because the purpose of the fee is merely to raise revenue, the court will find that the contract does not violate the law but will allow the contractor to recover his costs only."
a,"Criminal Law & Procedure, Criminal Procedure,","Police officers had probable cause to believe that a man had committed a series of armed bank robberies with an accomplice. The officers obtained a valid arrest warrant for the man and went to his house to arrest him. The officers found the front door ajar and could hear a radio playing inside. They knocked on the door, identified themselves as police officers, and stated that they had a warrant. Getting no response, the officers entered the house. After the officers called the man's name several times and again identified themselves as police officers, the man emerged from the basement and was arrested. The officers went into the basement to look for the accomplice. They opened a closet door and found cocaine in plain view. They did not find the accomplice. The man was indicted for cocaine possession. He has moved to suppress the cocaine as evidence on the ground that it was obtained in violation of the Fourth Amendment. Should the court grant the motion to suppress?","No, because the officers discovered the cocaine during a lawful protective sweep of the house looking for the man's accomplice.","No, because the search was incident to the man's arrest.","Yes, because the officers did not have a search warrant.","Yes, because the officers did not have probable cause to believe that cocaine would be in the closet."
c,"Real Property, RE Contract Issues,","A man owned land in fee simple. Three years ago, the man and a woman agreed to a month-to- month tenancy with the woman paying the man rent each month. After six months of the woman's occupancy, the man suggested to the woman that she could buy the land for a monthly payment of no more than her rent. The man and the woman orally agreed that the woman would pay $25,000 in cash, the annual real estate taxes, the annual fire insurance premiums, and the costs of maintaining the land, plus the monthly mortgage payments that the man owed on the land. They further orally agreed that within six years, the woman could pay whatever mortgage balances were then due and the man would give her a warranty deed to the property. The woman's average monthly payments did turn out to be about the same as her monthly rent. The woman fully complied with all of the obligations she had undertaken. She made some structural modifications to the land. The land is now worth 50% more than it was when the parties made their oral agreement. The woman made her financing arrangements and was ready to complete the purchase of the land, but the man refused to close. The woman brought an appropriate action for specific performance against the man to enforce the agreement. The court should rule for","the man, because the agreements were oral and violated the Statute of Frauds.","the man, subject to the return of the $25,000, because the arrangement was still a tenancy.","the woman, because the doctrine of part performance applies.","the woman, because the Statute of Frauds does not apply to oral purchase and sale agreements between landlords and tenants in possession."
a,"Civil Procedure, Jurisdiction/Venue,","A woman sued her former employer in state court, asserting age and sex discrimination claims under both state and federal law. The woman's attorney had recently been embarrassed in court by the judge to whom the case was assigned. Wishing to avoid difficulties with the judge, the woman's attorney promptly removed the case to federal court on the basis of federal-question jurisdiction. The employer's attorney has timely moved to remand. How is the federal court likely to proceed?",Remand the entire case.,Remand the state claims but keep the federal claims.,Retain the case to avoid the risk of bias and impropriety in having it proceed before a judge who has shown clear hostility toward the woman's attorney.,"Retain the case, because it was timely removed and the woman alleges federal claims."
b,"Evidence, Privileges,","A plaintiff sued defendant in connection with the dissolution of a partnership they had formed to run a parcel delivery service. They had relied on a business attorney in establishing the business. After the business failed, the plaintiff and the defendant disagreed about their respective obligations. At trial, both have hired new counsel. The plaintiff calls the business attorney to testify to representations the defendant made in meetings she had with the plaintiff and the business attorney. The defendant objects to the business attorney's testimony, invoking the attorney-client privilege. Should the court uphold the defendant's privilege claim?","No, because the business attorney's professional relationship with the plaintiff and the defendant has ended.","No, because the plaintiff and the defendant consulted the business attorney jointly.","Yes, because either the plaintiff or the defendant may block disclosure of statements made during such meetings.","Yes, because either the plaintiff or the defendant may claim the privilege on behalf of the partnership."
b,"Real Property, Mortgages, Foreclosure, and Security,","A man and a woman owned land in fee simple as tenants in common, each owning an undivided one-half interest. The man and the woman joined in mortgaging the land by a properly recorded mortgage that contained a general warranty clause. The man became disenchanted with land- ownership and notified the woman that he would no longer contribute to the payment of installments due to the mortgagee. After the mortgage was in default and the mortgagee made demand for payment of the entire amount of principal and interest due, the woman tendered to the mortgagee, and the mortgagee deposited, a check for one-half of the amount due the mortgagee. The woman then demanded a release of her undivided one-half interest. The mortgagee refused to release any interest in the land. The woman promptly brought an action against the mortgagee to quiet title to an undivided one-half interest in the land. In such action, the woman should","lose, because the mortgagee's title had been warranted by an express provision of the mortgage.","lose, because there was no redemption from the mortgage.","win, because the woman is entitled to marshalling.","win, because the co-tenancy of the mortgagors was in common and not joint."
c,"Criminal Law & Procedure, Criminal Procedure,","As to the switchblade knife and the .45-caliber pistol, the man's motion to suppress should be","granted, because the search and seizure were the result of illegal police conduct in executing the search warrant.","granted, because the police did not inform the man that he was under arrest and did not read him his Miranda rights.","denied, because the search and seizure were incident to a lawful arrest.","denied, because the police had reasonable grounds to believe that there were weapons in the house."
c,"Criminal Law & Procedure, Criminal Procedure,","As to the man's statement, his motion to suppress should be","granted, because the entry by forcing open the door was not reasonable.","granted, because the police failed to read the man his Miranda rights.","denied, because the statement was volunteered.","denied, because the statement was the product of a lawful public safety search."
a,"Criminal Law & Procedure, Criminal Procedure,","As to the Uzi automatic weapon, the man's motion to suppress should be","granted, because the search exceeded the scope needed to find out if other persons were present.","granted, because once the object of the warrant – the brown suitcase – had been found and seized, no further search of the house is permitted.","denied, because the police were lawfully in the bedroom and the weapon was immediately identifiable as being subject to seizure.","denied, because the police were lawfully in the house and had probable cause to believe that weapons were in the house."
c,"Evidence, Policy Exclusions,","A plaintiff is suing a doctor for medical malpractice occasioned by allegedly prescribing an incorrect medication, causing the plaintiff to undergo substantial hospitalization. When the doctor learned of the medication problem, she immediately offered to pay the plaintiff's hospital expenses. At trial, the plaintiff offers evidence of the doctor's offer to pay the costs of his hospitalization. The evidence of the doctor's offer is",admissible as a nonhearsay statement of a party.,"admissible, although hearsay, as a statement against interest.","inadmissible, because it is an offer to pay medical expenses.","inadmissible, because it is an offer to compromise."
b,"Criminal Law & Procedure, Crimes,","A man and two others were members of a teenage street gang. While they were returning from a dance late one evening, their car collided with a car driven by an elderly woman. After an argument, the man attacked the elderly woman with his fists and beat her to death. The two gang- member companions watched, and when they saw the woman fall to the ground they urged the man to flee. The man was eventually apprehended and tried for manslaughter, but the jury could not decide on a verdict. If the man's companions are subsequently tried as accomplices to manslaughter, they should be","acquitted, because their friend was not convicted of the offense.","acquitted, because they did not assist or encourage their friend to commit the crime.","convicted, because they urged their friend to flee.","convicted, because they made no effort to intervene."
c,"Torts, Intentional Torts,","A security guard, dressed in plain clothes, was working for a discount store when a customer got into a heated argument with a cashier over the store's refund policy. Without identifying himself as a security guard, the security guard suddenly grabbed the customer's arm. The customer attempted to push the security guard away, and the security guard knocked the customer to the floor, causing injuries. The customer sued the discount store for battery on a theory of vicarious liability for the injuries caused by the security guard. The store filed an answer to the customer's complaint, asserting the affirmative defense of contributory negligence. The customer has moved to strike the affirmative defense. Traditional rules of contributory negligence apply. Should the trial court grant the customer's motion?","No, because contributory negligence is an affirmative defense to a cause of action based on vicarious liability.","No, because the customer should have known that his argument with the cashier might provoke an action by a security guard.","Yes, because contributory negligence is not a defense to battery.","Yes, because the customer did not know that he was pushing away someone who was employed as a security guard."
c,"Contracts, Common Law Contracts,",Is the chef obligated to permit the new owner to perform the agreement the chef had with the friend?,"Yes, because the chef's agreement with the friend contained no prohibition against assignment or delegation.","Yes, because the chef received adequate assurances of the new owner's ability to complete the job.","No, because the friend's duties were of a personal nature, involving his reputation, taste, and skill.","No, because the friend's purported delegation to the new owner of his obligations to the chef effected a novation."
d,"Contracts, Common Law Contracts,","If the chef allows the new owner to perform and approves his design plan, but the new owner fails without legal excuse to complete the decorating as agreed, against whom does the chef have an enforceable claim for breach of contract?","the friend only, because the friend's agreement with the new owner did not discharge the friend's duty to the chef, and the new owner made no express promise to the chef.","the new owner only, because the friend’s duty to the chef was discharged when the friend obtained a skilled decorator (the new owner) to perform the friend's contract with the chef.","the new owner only, because the chef was an intended beneficiary of the friend's agreement with the new owner, and the friend’s duty to the chef was discharged when the chef permitted the new owner to do the work and approved the new owner’s design.","Either the friend, because his agreement with the new owner did not discharge his duty to the chef; or the new owner, because the chef was an intended beneficiary of the friend's agreement with the new owner."
a,"Evidence, Relevance, Opinion,","A plaintiff sued an auto manufacturing company for his wife's death, claiming that a defective steering mechanism on the family car caused it to veer off the road and hit a tree when his wife was driving. The auto manufacturing company claims that the steering mechanism was damaged in the collision and offers testimony that his deceased wife was intoxicated at the time of the accident. Testimony concerning the wife's intoxication is",admissible to provide an alternate explanation of the accident's cause.,admissible as proper evidence of the wife's character.,"inadmissible, because it is improper to prove character evidence by specific conduct.","inadmissible, because it is substantially more prejudicial than probative."
d,"Real Property, Cotenancy and Landlord-Tenant,","A man owned in fee simple two lots in an urban subdivision. The lots were vacant and unproductive. They were held as a speculation that their value would increase. The man died and, by his duly probated will, devised the residue of his estate (of which both lots were part) to a woman for life with remainder in fee simple to a friend. The man's executor distributed the estate under appropriate court order, and notified the woman that future real estate taxes on both lots were her responsibility to pay during her lifetime. Except for the statutes relating to probate and those relating to real estate taxes, there is no applicable statute. The woman failed to pay the real estate taxes due for both lots. To prevent a tax sale of the fee simple, the friend paid the taxes and demanded that the woman reimburse him for same. When the woman refused, the friend brought an appropriate action against a woman to recover the amount paid. In such action, the friend should recover","the amount paid, because a life tenant has the duty to pay current charges.",the present value of the interest that the amount paid would earn during the woman's lifetime.,"nothing, because the woman's sole possession gave the right to decide whether or not taxes should be paid.","nothing, because the woman never received any income from the lots."
c,"Civil Procedure,","A woman sued her employer alleging hostile work environment. During jury selection, the jury panel consisted of 3 women and 11 men. The employer used all three peremptory strikes on the three women. The woman claimed the employer’s peremptory strikes were improper and intentional gender discrimination. The employer responded that it was not gender discrimination and that it struck two of the jurors because they were unemployed and one of the jurors because she was an attorney and may have other cases against the employer or its competitors. When the jury found in favor of the employer, the woman requested a new trial on the basis of improper jury selection. The court should:",Grant the woman’s request because the selection was a prima facie case of discrimination.,Grant the woman’s request because the jury cannot consist of all men.,Deny the woman’s request because there was a gender-neutral rationale for the strikes.,Deny the woman’s request because improper jury selection is not a valid basis for a new trial.
a,"Civil Procedure,","Plaintiff brings a construction defect claim in Federal District Court against six (6) defendants: the general contractor, and five subcontractors. Jurisdiction is properly based on diversity of citizenship. The general contractor cross-claimed against each of the subcontractors, who each cross-claimed against the general contractor and each other. One of the defendant subcontractors (who installed the plumbing), moved for summary judgment on the Complaint and on each of the cross-claims brought against him. All sides filed papers and were heard. The Federal District Court entered an order granting summary judgment for the plumbing subcontractor on the Complaint and on each Cross-Complaint filed against him and dismissed the plumbing subcontractor as a defendant and cross-defendant in all cases. One of the other subcontractors who the plumbing subcontractor named as one of the five subcontractor defendants appeals the dismissal of his Cross-Complaint against the plumbing subcontractor. On appeal, the Court of Appeal should:","Dismiss the appeal for lack of jurisdiction, because the judgment is not final.",Dismiss the appeal unless the parties stipulate that the appeal may be taken.,Decide the appeal on the merits.,"Decide the appeal, but only if the Federal District Court judge expressly directed the entry of judgment for the plumbing subcontractor."
d,"Evidence, Hearsay,","A plaintiff sued a defendant under an age discrimination statute, alleging that the defendant refused to hire the plaintiff because she was over age 65. The defendant's defense was that he refused to employ the plaintiff because he reasonably believed that she would be unable to perform the job. The defendant seeks to testify that the plaintiff's former employer advised him not to hire the plaintiff because she was unable to perform productively for more than four hours a day. The defendant's testimony is","inadmissible, because the defendant's opinion of the plaintiff's abilities is not based on personal knowledge.","inadmissible, because the former employer's statement is hearsay not within any exception.",admissible as evidence that the plaintiff would be unable to work longer than four hours per day.,admissible as evidence of the defendant's reason for refusing to hire the plaintiff.
b,"Constitutional Law, Powers,","A federal statute provides that the cities in which certain specified airports are located may regulate the rates and services of all limousines that serve those airports, without regard to the origin or destination of the passengers who use the limousines. City Y and City Z are located adjacent to each other in different states. The airport serving both of them is located in City Y and is one of those airports specified in the federal statute. City Y's City Council has adopted a rule that requires any limousines serving the airport to charge only the rates authorized by the City Y City Council. A limousine service has a lucrative business transporting passengers between City Z and the airport in City Y, at much lower rates than those required by the City Y City Council. It transports passengers in interstate traffic only; it does not provide local service within City Y. The new rule adopted by the City Y City Council will require the limousine service to charge the same rates as limousines operating only in City Y. Must the limousine service comply with the new rule of the the City Y City Council?","Yes, because the airport is located in City Y and, therefore, its city council has exclusive regulatory authority over all transportation to and from the airport.","Yes, because Congress has authorized this form of regulation by City Y and, therefore, removed any Constitutional impediments to it that may have otherwise existed.","No, because the rule would arbitrarily destroy a lucrative existing business and, therefore, would amount to a taking without just compensation.","No, because the limousine service is engaged in interstate commerce and this rule is an undue burden on that commerce."
c,"Torts, Negligence,","While approaching an intersection with the red light against him, a motorist suffered a heart attack that rendered him unconscious. The motorist's car struck a child, who was crossing the street with the green light in her favor. Under the state motor vehicle code, it is an offense to drive through a red traffic light. The child sued the motorist to recover for her injuries. At trial it was stipulated that (1) immediately prior to suffering the heart attack, the motorist had been driving within the speed limit, had seen the red light, and had begun to slow his car; (2) the motorist had no history of heart disease and no warning of this attack; (3) while the motorist was unconscious, his car ran the red light. On cross motions for directed verdicts on the issue of liability at the conclusion of the proofs, the court should","grant the child's motion, because the motorist ran a red light in violation of the motor vehicle code.","grant the child's motion, because, in the circumstances, reasonable persons would infer that the motorist was negligent.","grant the motorist's motion, because he had no history of heart disease or warning of the heart attack.","deny both motions and submit the case to the jury, to determine whether, in the circumstances, the motorist's conduct was that of a reasonably prudent person."
b,"Evidence, Hearsay,","In a jurisdiction without a Dead Man's Statute, an estate sued a defendant claiming that the defendant had borrowed from the plaintiff’s decedent $10,000, which had not been repaid as of the plaintiff's death. The plaintiff’s decedent was run over by a truck. At the accident scene, while dying from massive injuries, the plaintiff’s decedent told a police officer to ""make sure my estate collects the $10,000 that I loaned to the defendant."" The police officer's testimony about the plaintiff's decedent’s statement is","inadmissible, because it is more unfairly prejudicial than probative.","inadmissible, because it is hearsay not within any exception.",admissible as an excited utterance.,admissible as a statement under belief of impending death.
c,"Contracts, Common Law Contracts,","For this question only, assume the following facts. The logger offered to buy, sever, and remove the standing timber from the advertised tract at a cash price 70% lower than the regionally prevailing price for comparable timber rights. The landholder, by then in desperate financial straits and knowing little about timber values, signed and delivered to the logger a letter accepting the offer. If, before the logger commences performance, the landholder’s investment fortunes suddenly improve, and he wishes to get out of the timber deal with the logger, which of the following legal concepts affords his best prospect of effective cancellation?",Bad faith.,Equitable estoppel.,Unconscionability.,Duress.
a,"Contracts, Common Law Contracts,","For this question only, assume the following facts. The logger offered a fair price for the timber rights in question, and the landholder accepted the offer. The 2,000-acre tract was an abundant wild-game habitat and had been used for many years, with the landholder’s permission, by area hunters. The logger’s performance of the timber contract would destroy this habitat. Without legal excuse and over the landholder’s strong objection, the logger repudiated the contract before commencing performance. The landholder could not afford to hire a lawyer and take legal action, and the landholder made no attempt to assign any cause of action he might have had against the logger. If the logger is sued for breach of contract by the landholder’s next-door neighbor, whose view of a nearby lake is obscured by the standing timber, the neighbor will probably","lose, as only an incidental beneficiary, if any, of the contract between the landholder and the logger.","lose, as a maintainer of nuisance litigation.","prevail, as a third-party intended beneficiary of the contract between the landholder and the logger.","prevail, as a surrogate for the landholder in view of his inability to enforce the contract."
d,"Constitutional Law, Individual Rights,","To improve the quality of rental housing within its boundaries, a city proposed an ordinance requiring all new and existing rental housing units to provide at least one full bathroom for each bedroom, plumbing and electrical hookups for a washer and dryer, and a covered parking space. A majority of the owners of existing rental housing in the city opposed the ordinance. They argued that it would dramatically decrease the number of low-income rental housing units because owners would be unable to raise rents enough to recoup the investment required to comply. Without denying these contentions, the city enacted the ordinance. A plaintiff who owns low-income rental housing has sued the city, claiming only that the ordinance is unconstitutional on its face. Which of the following best states the burden of persuasion in this action?","The city must demonstrate that the ordinance is necessary to serve a compelling state interest, because it adversely affects the fundamental right of rental housing owners to use their property in the manner they deem most economically efficient.","The city must demonstrate that the ordinance is necessary to serve a compelling state interest, because it will have a substantial and disproportionate negative impact on low- income persons.","The plaintiff must demonstrate that the ordinance is not substantially related to an important state interest, because it requires some owners of rental housing to invest money that they will not be able to recoup from increased rents.","The plaintiff must demonstrate that there is no rational relationship between the ordinance and any legitimate state interest, because the ordinance regulates economic activity of a type normally presumed to be within state regulatory authority."
a,"Real Property, Cotenancy and Landlord-Tenant,","By a writing, an owner leased his home to a tenant for a term of three years, ending December 31 of last year, at the rent of $1,000 per month. The lease provided that the tenant could sublet and assign. The tenant lived in the home for one year and paid the rent promptly. After one year, the tenant leased the home to a woman for one year and a rent of $1,000 per month. The woman took possession of the home and lived there for six months but, because of her unemployment, paid no rent. After six months, on June 30 the woman abandoned the home, which remained vacant for the balance of that year. The tenant again took possession of the home at the beginning of the third and final year of the term but paid the owner no rent. At the end of the lease term, the owner brought an appropriate action against both the tenant and the woman to recover $24,000, the unpaid rent. In such action the owner is entitled to a judgment","against the tenant individually for $24,000, and no judgment against the woman.","against the tenant individually for $18,000, and against the woman individually for $6,000.","against the tenant for $12,000, and against the tenant and the woman jointly and severally for $12,000.","against the tenant individually for $18,000, and against the tenant and the woman jointly and severally for $6,000."
c,"Torts, Negligence,","In a trial to a jury, an owner proved that a power company's negligent maintenance of a transformer caused a fire that destroyed his restaurant. The jury returned a verdict for the owner in the amount of $450,000 for property loss and $500,000 for emotional distress. The trial judge entered judgment in those amounts. The power company appealed that part of the judgment awarding $500,000 for emotional distress. On appeal, the judgment should be","affirmed, because the power company negligently caused the owner's emotional distress.","affirmed, because harm arising from emotional distress is as real as harm caused by physical impact.","reversed, because the law does not recognize a claim for emotional distress incident to negligently caused property loss.","reversed, unless the jury found that the owner suffered physical harm as a consequence of the emotional distress caused by his property loss."
a,"Real Property, Lateral/Subjacent Support,","A man owned a lot in fee simple in a properly approved subdivision, designed and zoned for industrial use. A neighbor owned the adjoining lot in the same subdivision. The plat of the subdivision was recorded as authorized by statute. Twelve years ago, the man erected an industrial building wholly situated on his lot but with one wall along the boundary common with his neighbor's lot. The construction was authorized by a building permit, validly obtained under applicable statutes, ordinances, and regulations. Further, the construction was regularly inspected and passed as being in compliance with all building code requirements. The neighbor's lot remained vacant until six months ago, when she began excavation pursuant to a building permit authorizing the erection of an industrial building situated on her lot but with one wall along the boundary common with the man's lot. The excavation caused subsidence of a portion of the man's lot that resulted in injury to the man's building. The neighbor's excavation was not done negligently or with any malicious intent to injure. In the jurisdiction, the time to acquire title by adverse possession or rights by prescription is 10 years. The man brought an appropriate action against the neighbor to recover damages resulting from the injuries to the building on his lot. In such lawsuit, judgment should be for","the man, if, but only if, the subsidence would have occurred without the weight of the building on his own lot.","the man, because a right for support, appurtenant to his lot, had been acquired by adverse possession and prescription.","the neighbor, because both lots are urban land, as distinguished from rural land and, therefore, under the circumstances the man had the duty to protect any improvements on his own lot.","the neighbor, because the construction and the use to be made of the building were both authorized by the applicable law."
b,"Evidence, Relevance, Opinion,","A defendant is charged with murder in connection with a carjacking incident during which the defendant allegedly shot a man while attempting to steal the man's car. The prosecutor calls the man's four-year-old son, whose face was horribly disfigured by the same bullet, to testify that the defendant shot his father and him. The son's testimony should be","admitted, provided the prosecutor first provides evidence that persuades the judge that the son is competent to testify despite his tender age.","admitted, provided there is sufficient basis for believing that the son has personal knowledge and understands his obligation to testify truthfully.","excluded, because it is insufficiently probative in view of the son's tender age.","excluded, because it is more unfairly prejudicial than probative."
a,"Constitutional Law, Powers,","A federal statute provides that the United States Supreme Court has authority to review any case filed in a United States Court of Appeals, even though that case has not yet been decided by the court of appeals. An environmental agency in the executive branch of the federal government, issued an important environmental rule. Although the rule had not yet been enforced against them, companies that would be adversely affected by the rule, filed a petition for review of the rule in a court of appeals, seeking a declaration that the rule was invalid solely because it was beyond the statutory authority of the federal agency. The companies made no constitutional claim. A statute specifically provides for direct review of the federal agency rules by a court of appeals without any initial action in a district court. The companies have filed a petition for a writ of certiorari in the Supreme Court requesting immediate review of this case by the Supreme Court before the court of appeals has actually decided the case. The federal agency acknowledges that the case is important enough to warrant Supreme Court review and that it should be decided promptly, but it asks the Supreme Court to dismiss the petition on jurisdictional grounds. The best constitutional argument in support of the federal agency's request is that","the case is not within the original jurisdiction of the Supreme Court as defined by Article III, and it is not a proper subject of that court's appellate jurisdiction because it has not yet been decided by any lower court.","the case is appellate in nature, but it is beyond the appellate jurisdiction of the Supreme Court, because Article III states that its jurisdiction extends only to cases arising under the Constitution.",Article III precludes federal courts from reviewing the validity of any federal agency rule in any proceeding other than an action to enforce the rule.,"Article III provides that all federal cases, except those within the original jurisdiction of the Supreme Court, must be initiated by an action in a federal district court."
c,"Torts, Negligence,","A patron ate a spicy dinner at a restaurant on Sunday night. He enjoyed the food and noticed nothing unusual about the dinner. Later that evening, the patron had an upset stomach. He slept well through the night, went to work the next day, and ate three meals. His stomach discomfort persisted, and by Tuesday morning, he was too ill to go to work. Eventually, the patron consulted his doctor, who found that the patron was infected with a bacterium that can be contracted from contaminated food. Food can be contaminated when those who prepare it do not adequately wash their hands. The patron sued the restaurant for damages. He introduced testimony from a health department official that various health code violations had been found at the restaurant both before and after the patron's dinner, but that none of the restaurant's employees had signs of bacterial infection when they were tested one month after the incident. The restaurant's best argument in response to the patron's suit would be that",no one else who ate at the restaurant on Sunday complained about stomach discomfort.,the restaurant instructs its employees to wash their hands carefully and is not responsible if any employee fails to follow these instructions.,the patron has failed to establish that the restaurant's food caused his illness.,the patron assumed the risk of an upset stomach by choosing to eat spicy food.
d,"Criminal Law & Procedure, Crimes,","In a jurisdiction that has abolished the felony- murder rule, but otherwise follows the common law of murder, a woman and a man, both armed with automatic weapons, went into a bank to rob it. The man ordered all the persons in the bank to lie on the floor. When some were slow to obey, the woman (not intending to hit anyone) fired about 15 rounds into the air. One of these rounds ricocheted off a stone column, which struck and killed a customer in the bank. Both the woman and the man were charged with murder of the customer. Which of the following is correct?","The woman can be convicted of murder, because she did the act of killing, but the man cannot be convicted of either murder or manslaughter.","Neither can be guilty of murder, but both can be convicted of manslaughter based upon an unintentional homicide.","The woman can be convicted only of manslaughter, but the man cannot be convicted of murder or manslaughter.",Both can be convicted of murder.
a,"Constitutional Law, Individual Rights,","A large privately owned and operated shopping mall is open to the public and includes small shops, major department stores, and restaurants that are located around a pedestrian area. It also has several movie theaters, an ice-skating rink, a small amusement park, and a branch of the local public library. The mall is advertised as ""a small town with a big-town feel."" During shopping hours, a group of 10 protesters gathered in the pedestrian area near the entrance to a department store to denounce the sale of animal fur products in that store. The protesters were peaceful and did not interfere with traffic into or out of the store, but they carried signs and vocally communicated their message to people walking in the area. Mall management quickly broke up the protest and required the protesters to leave the mall. The protesters have sued the mall, claiming that their right to freedom of speech guaranteed by the First and Fourteenth Amendments was violated. Should the protesters prevail?","No, because the mall is private property, and there was no state action to which the freedom of speech guarantees of the First and Fourteenth Amendments apply.","No, because the prohibition of protests adjacent to the entrance of a department store during shopping hours is a constitutionally proper limitation on the time, place, and manner of speech.","Yes, because the mall is functionally equivalent to a town and, therefore, its actions are subject to the Constitution's guarantees of freedom of speech and assembly.","Yes, because the mall's restriction on the protesters' speech was broader than necessary to ensure proper access to the department store."
a,"Contracts, Common Law Contracts,","A written construction contract began with the following recital: “This Agreement, between the ownership company (hereafter called ‘Owner’), the building company, and Boss, its President (hereafter called ‘Contractor’) witnesseth:” The signatures to the contract appeared in the following format: OWNER By /s/ Oscar Land President CONTRACTOR By /s/ George Mason Vice President /s/ Mary Boss, President Mary Boss The building company became insolvent and defaulted. The owner sued the buildering company's president individually for the breach, and at the trial, the building company's president proffered evidence from the pre-contract negotiations that only the building company was to be legally responsible for performing the contract. If the court finds the contract to be completely integrated, is the evidence proffered by the building company's president admissible?","Yes, because the writing is ambiguous as to whether or not the building company's president was intended individually to be a contracting party.","Yes, because the evidence would contradict neither the recital nor the form of the building company's president's signature.","No, because the legal effect of the building company's president's signature cannot be altered by evidence of prior understandings.","No, because of the application of the “four corners” rule, under which the meaning of a completely integrated contract must be ascertained solely from its own terms."
c,"Torts, Defamation/Invasion of Privacy,","When the parents were told that their child should repeat second grade, they sought to have their child evaluated by a psychologist. The psychologist, who charged $300, determined that the child had a learning disability. Based upon the report, the school board placed the child in special classes. At an open meeting of the school board, the parents asked that the $300 they had paid to the psychologist be reimbursed by the school district. A reporter attending the meeting wrote a newspaper article about this request, mentioning the child by name. In a privacy action brought by the child's legal representative against the newspaper, the plaintiff will","recover, because the story is not newsworthy.","recover, because the child is under the age of consent.","not recover, if the story is a fair and accurate report of what transpired at the meeting.","not recover, if the parents knew that the reporter was present."
c,"Evidence, Authentication/Best Evidence Rule,","A plaintiff sued defendant over title to land on a riverbank. Changes in the water level over time were important to the plaintiff's case. For 15 years, a commercial fisherman had kept a daily log of the water level at his dock on the riverbank opposite the land in order to forecast fishing conditions. The plaintiff hired a draftsman to graph the data from the fisherman's logs for use as a trial exhibit. At trial, the fisherman testified to the care with which he had made the measurements and recorded them in his logs, which had been made available for the defendant's inspection. The draftsman then testified to the manner in which he had prepared the graphs. With this foundation, are the graphs admissible?","No, because they are hearsay not within any exception.","No, because they violate the ""best evidence"" rule.","Yes, as summaries of voluminous business records.","Yes, as the draftsman's expert opinion of the water levels."
